id,url,source_url,caption
0,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Vincent+Van+Gogh.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project_%28454045%29.jpg/220px-Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project_%28454045%29.jpg,"Self-Portrait, 1887, Art Institute of Chicago"
1,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Pierre+Auguste+Renoir.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Pierre_Auguste_Renoir%2C_uncropped_image.jpg/270px-Pierre_Auguste_Renoir%2C_uncropped_image.jpg,
2,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Claude+Oscar+Monet.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Claude_Monet_1899_Nadar_crop.jpg/220px-Claude_Monet_1899_Nadar_crop.jpg,Monet c. 1899
3,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Fernando+Botero.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Fernando_Botero_2.jpg/220px-Fernando_Botero_2.jpg,Fernando Botero in December 2006
4,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Jean-L%C3%A9on+G%C3%A9r%C3%B4me.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Jean-Leon_Gerome.jpg/220px-Jean-Leon_Gerome.jpg,Photograph by Nadar
6,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Rembrandt+Van+Rijn.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Rembrandt_van_Rijn_-_Self-Portrait_-_Google_Art_Project.jpg/220px-Rembrandt_van_Rijn_-_Self-Portrait_-_Google_Art_Project.jpg,"Self-Portrait with Beret and Turned-Up Collar (1659), National Gallery of Art, Washington, D.C."
8,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Gustav+Klimt.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Klimt.jpg/220px-Klimt.jpg,Photographic portrait from 1914
9,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Joseph+Mallord+William+Turner.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Joseph_Mallord_William_Turner_Self_Portrait_1799.jpg/220px-Joseph_Mallord_William_Turner_Self_Portrait_1799.jpg,"Self-Portrait, oil on canvas, c. 1799"
11,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Michelangelo+Buonarroti.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Michelangelo_Daniele_da_Volterra_%28dettaglio%29.jpg/220px-Michelangelo_Daniele_da_Volterra_%28dettaglio%29.jpg,"Portrait by Daniele da Volterra, c. 1545"
12,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Francisco+De+Goya+y+Lucientes.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Vicente_L%C3%B3pez_Porta%C3%B1a_-_el_pintor_Francisco_de_Goya.jpg/220px-Vicente_L%C3%B3pez_Porta%C3%B1a_-_el_pintor_Francisco_de_Goya.jpg,"Portrait of Goya by Vicente López Portaña, c. 1826. Museo del Prado, Madrid"
13,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Winslow+Homer.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Winslow_Homer_by_Sarony.jpeg/220px-Winslow_Homer_by_Sarony.jpeg,"Winslow Homer, 1880;photo by Napoleon Sarony (1821–1896)"
14,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Eugene+Delacroix.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/F%C3%A9lix_Nadar_1820-1910_portraits_Eug%C3%A8ne_Delacroix_restored.jpg/220px-F%C3%A9lix_Nadar_1820-1910_portraits_Eug%C3%A8ne_Delacroix_restored.jpg,"Eugène Delacroix, c. 1857 (photographed by Nadar)"
15,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Henri+De+Toulouse-Lautrec.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Photolautrec.jpg/220px-Photolautrec.jpg,Photo taken in 1894
17,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Camille+Pissarro.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Pissarro-portrait.jpg/220px-Pissarro-portrait.jpg,"Camille Pissarro, c. 1900"
18,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Paul+Gauguin.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Paul_Gauguin_1891.png/220px-Paul_Gauguin_1891.png,Gauguin in 1891
19,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Edouard+Manet.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/2/20/%C3%89douard_Manet%2C_en_buste%2C_de_face_-_Nadar.jpg/220px-%C3%89douard_Manet%2C_en_buste%2C_de_face_-_Nadar.jpg,Édouard Manet before 1870
20,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Canaletto.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Giovanni_Antonio_Canal.jpg/220px-Giovanni_Antonio_Canal.jpg,
21,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/John+Constable.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/John_Constable_by_Daniel_Gardner%2C_1796.JPG/220px-John_Constable_by_Daniel_Gardner%2C_1796.JPG,"John Constable by Daniel Gardner, 1796"
22,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Tiziano+Vecellio.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Tizian_090.jpg/220px-Tizian_090.jpg,"Self-Portrait, c. 1567; Museo del Prado, Madrid."
23,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Edgar+Degas.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Edgar_Degas_self_portrait_1855.jpeg/240px-Edgar_Degas_self_portrait_1855.jpeg,"Self-portrait (Degas au porte-fusain), 1855"
24,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Alfred+Sisley.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Alfred_Sisley_photo_full.jpg/220px-Alfred_Sisley_photo_full.jpg,Sisley in March 1863
26,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Albert+Bierstadt.jpg,http://upload.wikimedia.org/wikipedia/commons/6/6b/Bierstadt.jpg,Albert Bierstadt by Napoleon Sarony
27,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Egon+Schiele.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Egon_Schiele_-_Self-Portrait_with_Physalis_-_Google_Art_Project.jpg/300px-Egon_Schiele_-_Self-Portrait_with_Physalis_-_Google_Art_Project.jpg,"Self-Portrait with Physalis, 1912"
29,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Mary+Cassatt.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Mary_Cassatt_photograph_1913.jpg/225px-Mary_Cassatt_photograph_1913.jpg,"Cassatt seated in a chair with an umbrella, 1913. Verso reads ""The only photograph for which she ever posed."""
30,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Giotto+Di+Bondone.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Giotto_-_Tableau_repr%C3%A9sentant_cinq_ma%C3%AEtres_de_la_Renaissance_florentine_%28d%C3%A9but_XVIe_si%C3%A8cle_%3F%29.JPG/180px-Giotto_-_Tableau_repr%C3%A9sentant_cinq_ma%C3%AEtres_de_la_Renaissance_florentine_%28d%C3%A9but_XVIe_si%C3%A8cle_%3F%29.JPG,"Posthumous portrait of Giotto di Bondone, made between 1490 and 1550"
31,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Berthe+Morisot.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Morisot_berthe_photo.jpg/220px-Morisot_berthe_photo.jpg,Berthe Morisot
32,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Odilon+Redon.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Odilon_Redon.jpg/220px-Odilon_Redon.jpg,"Self-Portrait, 1880, Musée d'Orsay"
33,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Martin+Johnson+Heade.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Martin-johnson-heade.jpg/220px-Martin-johnson-heade.jpg,
34,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Jean-Baptiste-Camille+Corot.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Jean-Baptiste-Camille_Corot_c1850.png/250px-Jean-Baptiste-Camille_Corot_c1850.png,Portrait of Corot circa 1850
35,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Thomas+Moran.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Portrait_of_Thomas_Moran_by_Napoleon_Sarony.jpg/240px-Portrait_of_Thomas_Moran_by_Napoleon_Sarony.jpg,Thomas Moran by Napoleon Sarony
36,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Frederic+Edwin+Church.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Photograph_of_Frederick_Edwin_Church_by_Napoleon_Sarony.jpg/220px-Photograph_of_Frederick_Edwin_Church_by_Napoleon_Sarony.jpg,c. 1868 photograph by Napoleon Sarony
37,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Gustave+Caillebotte.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Gustave_Caillebotte_photo_c1878.jpg/220px-Gustave_Caillebotte_photo_c1878.jpg,"Gustave Caillebotte, about age 30, c. 1878"
39,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/George+Inness.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/George_Inness.jpg/220px-George_Inness.jpg,"George Inness, 1890"
40,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Joaquin+Sorolla+y+Bastida.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Joaquin_Sorolla_by_Gertrude_K%C3%A4sebier%2C_1908.jpg/220px-Joaquin_Sorolla_by_Gertrude_K%C3%A4sebier%2C_1908.jpg,"Platinum print of Sorolla by Gertrude Käsebier, c. 1908"
41,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Sandro+Botticelli.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Sandro_Botticelli_083.jpg/220px-Sandro_Botticelli_083.jpg,"Probable self-portrait of Botticelli, in his Adoration of the Magi (1475)."
42,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Giovanni+Bellini.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Giovanni_Bellini_Felt%C3%A9telezett%C3%96narck%C3%A9peKJ.jpg/250px-Giovanni_Bellini_Felt%C3%A9telezett%C3%96narck%C3%A9peKJ.jpg,Self-portrait by Giovanni Belliniin the Musei Capitolini (Rome)
43,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Annibale+Carracci.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Annibale_Carracci%2C_Autoritratto_.jpg/220px-Annibale_Carracci%2C_Autoritratto_.jpg,"Self-portrait, c. 1580"
44,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Gustave+Courbet.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Gustave_Courbet%2C_photograph_Atelier_Nadar%2C_c._1860s.jpg/220px-Gustave_Courbet%2C_photograph_Atelier_Nadar%2C_c._1860s.jpg,"Gustave Courbet, c. 1860s(portrait photograph by Nadar)"
45,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Caravaggio.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Bild-Ottavio_Leoni%2C_Caravaggio.jpg/220px-Bild-Ottavio_Leoni%2C_Caravaggio.jpg,"Chalk portrait of Caravaggio by Ottavio Leoni, c. 1621."
46,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Bartlett,+William+Henry.jpg",http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/W_H_Bartlett_selfportrait_cover_1836.jpg/220px-W_H_Bartlett_selfportrait_cover_1836.jpg,"Self-portrait of W H Bartlett, from the cover of his book Working A Canoe Up A Rapid."
47,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Eug%C3%A8ne+Boudin.jpg,http://upload.wikimedia.org/wikipedia/commons/6/61/Boudin.jpeg,"Eugène Boudin, c. 1890s"
48,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Arthur+Rackham.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Arthur_rackham_selfportrait.jpg/220px-Arthur_rackham_selfportrait.jpg,"Self-portrait, 1934"
50,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Frederic+Remington.jpg,http://upload.wikimedia.org/wikipedia/commons/b/bb/Frederic_Remington.jpg,
51,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Theodore+Gericault.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Horace_Vernet%2C_Jean-Louis-Andr%C3%A9-Th%C3%A9odore_Gericault%2C_probably_1822_or_1823%2C_1998.84%2C_MET.jpg/200px-Horace_Vernet%2C_Jean-Louis-Andr%C3%A9-Th%C3%A9odore_Gericault%2C_probably_1822_or_1823%2C_1998.84%2C_MET.jpg,"Théodore Géricault by Horace Vernet, circa 1822–1823"
52,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/William+Merritt+Chase.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/William_Merritt_Chase.jpg/220px-William_Merritt_Chase.jpg,William Merritt Chase in 1900
53,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/John+Frederick+Herring+Snr.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/J_F_Herring.jpg/220px-J_F_Herring.jpg,
55,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Pieter+the+Elder+Bruegel.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Pieter_Bruegel_the_Elder_-_The_Painter_and_the_Buyer%2C_ca._1566_-_Google_Art_Project.jpg/220px-Pieter_Bruegel_the_Elder_-_The_Painter_and_the_Buyer%2C_ca._1566_-_Google_Art_Project.jpg,"The Painter and The Connoisseur, c. 1565, possibly Bruegel's self-portrait[1]"
56,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Jean-Baptiste-Simeon+Chardin.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Chardin_pastel_selfportrait.jpg/220px-Chardin_pastel_selfportrait.jpg,"Self-portrait, 1771, pastel, Louvre"
57,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Jean-Honore+Fragonard.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Jean-Honor%C3%A9_Fragonard_-_Self-portrait_with_smiling_face.jpg/220px-Jean-Honor%C3%A9_Fragonard_-_Self-portrait_with_smiling_face.jpg,"Self-Portrait, 1780s, black chalk with gray wash, Louvre, Paris"
58,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Ivan+Konstantinovich+Aivazovsky.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Aivazovsky_-_Self-portrait_1874.jpg/220px-Aivazovsky_-_Self-portrait_1874.jpg,"Self-portrait, 1874, oil on canvas, 70.5 × 62.5 cm, Uffizi, Florence[1]"
59,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Childe+Hassam.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Childe_Hassam.jpg/220px-Childe_Hassam.jpg,
60,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Lord+Frederick+Leighton.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/1880_Frederic_Leighton_-_Self_portrait.jpg/220px-1880_Frederic_Leighton_-_Self_portrait.jpg,"Frederic Leighton, Self-portrait, 1880"
61,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/George+Wesley+Bellows.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/3/39/George_bellows.jpg/200px-George_bellows.jpg,
63,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Thomas+Gainsborough.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Thomas_Gainsborough_by_Thomas_Gainsborough.jpg/220px-Thomas_Gainsborough_by_Thomas_Gainsborough.jpg,Self-portrait (1759)
64,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Caspar+David+Friedrich.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Gerhard_von_K%C3%BCgelgen_portrait_of_Friedrich.jpg/220px-Gerhard_von_K%C3%BCgelgen_portrait_of_Friedrich.jpg,"Gerhard von Kügelgen, Caspar David Friedrich,  c. 1808, Hamburger Kunsthalle"
65,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/James+Jacques+Joseph+Tissot.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/James_Tissot_Self_Portrait_%281865%29.jpg/220px-James_Tissot_Self_Portrait_%281865%29.jpg,"Self-Portrait (1865), oil on canvas, Fine Arts Museums of San Francisco."
66,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Jean-Francois+Millet.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Jean-Fran%C3%A7ois_Millet_by_Nadar%2C_Metropolitan_Museum_copy.jpg/220px-Jean-Fran%C3%A7ois_Millet_by_Nadar%2C_Metropolitan_Museum_copy.jpg,"Portrait by Nadar, c. 1856-58"
67,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Jacopo+Tintoretto.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Tintoretto-selfport.jpg/220px-Tintoretto-selfport.jpg,"Self-portrait, c. 1588; Louvre, Paris"
68,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/George+Stubbs.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/George_Stubbs_-_self_portrait.jpg/220px-George_Stubbs_-_self_portrait.jpg,A self-portrait by George Stubbs
69,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Edouard+++Vuillard.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Self-Portrait%2C_Aged_21_A21192.jpg/220px-Self-Portrait%2C_Aged_21_A21192.jpg,"Self-portrait, 1889, oil on canvas"
70,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Jean-Antoine+Watteau.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Rosalba_Carriera_Portrait_Antoine_Watteau.jpg/220px-Rosalba_Carriera_Portrait_Antoine_Watteau.jpg,"Rosalba Carriera, Portrait of Antoine Watteau, c. 1721, showing the artist in the last year of his life. Musei Civici [it], Treviso"
71,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Paul+Signac.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Paul_Signac%2C_ca._1883.jpg/220px-Paul_Signac%2C_ca._1883.jpg,"Paul Signac with his palette, c. 1883"
72,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/William+Hogarth.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/The_Painter_and_His_Pug_by_William_Hogarth.jpg/220px-The_Painter_and_His_Pug_by_William_Hogarth.jpg,"William Hogarth, The Painter and his Pug, 1745. Self-portrait with his pug, Trump, in Tate Britain, London."
73,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Armand+Guillaumin.jpg,http://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Armand_Guillaumin_-_photo.jpg/220px-Armand_Guillaumin_-_photo.jpg,
75,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Nicolas+Poussin.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Nicolas_Poussin_078.jpg/220px-Nicolas_Poussin_078.jpg,"Self-portrait by Nicolas Poussin, 1650"
79,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Charles+Robert+Leslie.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Charles_Robert_Leslie_by_Charles_Robert_Leslie.jpg/220px-Charles_Robert_Leslie_by_Charles_Robert_Leslie.jpg,"Self-portrait (1814; National Portrait Gallery, London)"
80,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Jan+Vermeer+Van+Delft.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Cropped_version_of_Jan_Vermeer_van_Delft_002.jpg/200px-Cropped_version_of_Jan_Vermeer_van_Delft_002.jpg,"Detail of the painting The Procuress (c. 1656), believed to be a self portrait by Vermeer[1]"
81,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/(after)+Hieronymus+Bosch.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Portrait_de_J%C3%A9r%C3%B4me_Bosch_%28anonyme%2C_1585%29.jpg/220px-Portrait_de_J%C3%A9r%C3%B4me_Bosch_%28anonyme%2C_1585%29.jpg,"Posthumous portrait of Hieronymus Bosch, c. 1585(attr. Anonymous)"
82,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Joan+Eardley.jpg,http://upload.wikimedia.org/wikipedia/en/thumb/1/1f/Joan_Eardley_-_Self-portrait.jpg/220px-Joan_Eardley_-_Self-portrait.jpg,"Self-portrait, 1943"
83,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/(after)+Pietro+Antonio+Rotari.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/AntonioBalestraSelf-portrait.jpg/150px-AntonioBalestraSelf-portrait.jpg,Self-portrait
