id,name,description
0,Still Life,"A still life (plural: still lifes) is a work of art depicting mostly inanimate subject matter, typically commonplace objects which are either natural (food, flowers, dead animals, plants, rocks, shells, etc.) or man-made (drinking glasses, books, vases, jewelry, coins, pipes, etc.).[1]

With origins in the Middle Ages and Ancient Greco-Roman art, still-life painting emerged as a distinct genre and professional specialization in Western painting by the late 16th century, and has remained significant since then. One advantage of the still-life artform is that it allows an artist much freedom to experiment with the arrangement of elements within a composition of a painting. Still life, as a particular genre, began with Netherlandish painting of the 16th and 17th centuries, and the English term still life derives from the Dutch word stilleven. Early still-life paintings, particularly before 1700, often contained religious and allegorical symbolism relating to the objects depicted. Later still-life works are produced with a variety of media and technology, such as found objects, photography, computer graphics, as well as video and sound.

The term includes the painting of dead animals, especially game. Live ones are considered animal art, although in practice they were often painted from dead models. Because of the use of plants and animals as a subject, the still-life category also shares commonalities with zoological and especially botanical illustration. However, with visual or fine art, the work is not intended merely to illustrate the subject correctly.

Still life occupied the lowest rung of the hierarchy of genres, but has been extremely popular with buyers. As well as the independent still-life subject, still-life painting encompasses other types of painting with prominent still-life elements, usually symbolic, and ""images that rely on a multitude of still-life elements ostensibly to reproduce a 'slice of life'"".[2] The trompe-l'œil painting, which intends to deceive the viewer into thinking the scene is real, is a specialized type of still life, usually showing inanimate and relatively flat objects."
1,Portraits,"A portrait is a painting, photograph, sculpture, or other artistic representation of a person, in which the face and its expressions are predominant. The intent is to display the likeness, personality, and even the mood of the person. For this reason, in photography a portrait is generally not a snapshot, but a composed image of a person in a still position. A portrait often shows a person looking directly at the painter or photographer, in order to most successfully engage the subject with the viewer."
2,Painting,"Painting is the practice of applying paint, pigment, color or other medium to a solid surface (called the ""matrix""[citation needed] or ""support"").[1] The medium is commonly applied to the base with a brush, but other implements, such as knives, sponges, and airbrushes, can be used.

In art, the term painting describes both the act and the result of the action (the final work is called ""a painting""). The support for paintings includes such surfaces as walls, paper, canvas, wood, glass, lacquer, pottery, leaf, copper and concrete, and the painting may incorporate multiple other materials, including sand, clay, paper, plaster, gold leaf, and even whole objects.

Painting is an important form in the visual arts, bringing in elements such as drawing, composition, gesture (as in gestural painting), narration (as in narrative art), and abstraction (as in abstract art).[2] Paintings can be naturalistic and representational (as in still life and landscape painting), photographic, abstract, narrative, symbolistic (as in Symbolist art), emotive (as in Expressionism) or political in nature (as in Artivism).

A portion of the history of painting in both Eastern and Western art is dominated by religious art. Examples of this kind of painting range from artwork depicting mythological figures on pottery, to Biblical scenes on the Sistine Chapel ceiling, to scenes from the life of Buddha (or other images of Eastern religious origin)."
3,Landscapes,"Landscape painting, also known as landscape art, is the depiction of natural scenery such as mountains, valleys, trees, rivers, and forests, especially where the main subject is a wide view—with its elements arranged into a coherent composition. In other works, landscape backgrounds for figures can still form an important part of the work. Sky is almost always included in the view, and weather is often an element of the composition. Detailed landscapes as a distinct subject are not found in all artistic traditions, and develop when there is already a sophisticated tradition of representing other subjects.

Two main traditions spring from Western painting and Chinese art, going back well over a thousand years in both cases. The recognition of a spiritual element in landscape art is present from its beginnings in East Asian art, drawing on Daoism and other philosophical traditions, but in the West only becomes explicit with Romanticism.

Landscape views in art may be entirely imaginary, or copied from reality with varying degrees of accuracy. If the primary purpose of a picture is to depict an actual, specific place, especially including buildings prominently, it is called a topographical view.[1] Such views, extremely common as prints in the West, are often seen as inferior to fine art landscapes, although the distinction is not always meaningful; similar prejudices existed in Chinese art, where literati painting usually depicted imaginary views, while professional artists painted real views.[2]

The word ""landscape"" entered the modern English language as landskip (variously spelt), an anglicization of the Dutch landschap, around the start of the 17th century, purely as a term for works of art, with its first use as a word for a painting in 1598.[3] Within a few decades it was used to describe vistas in poetry,[4] and eventually as a term for real views. However the cognate term landscaef or landskipe for a cleared patch of land had existed in Old English, though it is not recorded from Middle English.[5]"
4,Sculptures,"Sculpture is the branch of the visual arts that operates in three dimensions. Sculpture is the three-dimensional art work which is physically presented in the dimensions of height, width and depth. It is one of the plastic arts. Durable sculptural processes originally used carving (the removal of material) and modelling (the addition of material, as clay), in stone, metal, ceramics, wood and other materials but, since Modernism, there has been an almost complete freedom of materials and process. A wide variety of materials may be worked by removal such as carving, assembled by welding or modelling, or moulded or cast.

Sculpture in stone survives far better than works of art in perishable materials, and often represents the majority of the surviving works (other than pottery) from ancient cultures, though conversely traditions of sculpture in wood may have vanished almost entirely. However, most ancient sculpture was brightly painted, and this has been lost.[2]

Sculpture has been central in religious devotion in many cultures, and until recent centuries large sculptures, too expensive for private individuals to create, were usually an expression of religion or politics. Those cultures whose sculptures have survived in quantities include the cultures of the ancient Mediterranean, India and China, as well as many in Central and South America and Africa.

The Western tradition of sculpture began in ancient Greece, and Greece is widely seen as producing great masterpieces in the classical period. During the Middle Ages, Gothic sculpture represented the agonies and passions of the Christian faith. The revival of classical models in the Renaissance produced famous sculptures such as Michelangelo's statue of David. Modernist sculpture moved away from traditional processes and the emphasis on the depiction of the human body, with the making of constructed sculpture, and the presentation of found objects as finished art works.
"
5,Teaching,"Teaching is the practice implemented by a teacher aimed at transmitting skills (knowledge, know-how, and interpersonal skills) to a learner, a student, or any other audience in the context of an educational institution. Teaching is closely related to learning, the student's activity of appropriating this knowledge.[1] Teaching is part of the broader concept of education.[2][3]"
6,Drawing,"Drawing is a form of visual art in which an artist uses instruments to mark paper or other two-dimensional surface. Drawing instruments include graphite pencils, pen and ink, various kinds of paints, inked brushes, colored pencils, crayons, charcoal, chalk, pastels, erasers, markers, styluses, and metals (such as silverpoint). Digital drawing is the act of drawing on graphics software in a computer. Common methods of digital drawing include a stylus or finger on a touchscreen device, stylus- or finger-to-touchpad, or in some cases, a mouse. There are many digital art programs and devices.

A drawing instrument releases a small amount of material onto a surface, leaving a visible mark. The most common support for drawing is paper, although other materials, such as cardboard, wood, plastic, leather, canvas, and board, have been used. Temporary drawings may be made on a blackboard or whiteboard. Drawing has been a popular and fundamental means of public expression throughout human history. It is one of the simplest and most efficient means of communicating ideas.[1] The wide availability of drawing instruments makes drawing one of the most common artistic activities.

In addition to its more artistic forms, drawing is frequently used in commercial illustration, animation, architecture, engineering, and technical drawing. A quick, freehand drawing, usually not intended as a finished work, is sometimes called a sketch. An artist who practices or works in technical drawing may be called a drafter, draftsman, or draughtsman.[2]"
7,Prints,"Printmaking is the process of creating artworks by printing, normally on paper, but also on fabric, wood, metal, and other surfaces. ""Traditional printmaking"" normally covers only the process of creating prints using a hand processed technique, rather than a photographic reproduction of a visual artwork which would be printed using an electronic machine (a printer); however, there is some cross-over between traditional and digital printmaking, including risograph. Except in the case of monotyping, all printmaking processes have the capacity to produce identical multiples of the same artwork, which is called a print. Each print produced is considered an ""original"" work of art, and is correctly referred to as an ""impression"", not a ""copy"" (that means a different print copying the first, common in early printmaking). However, impressions can vary considerably, whether intentionally or not. Master printmakers are technicians who are capable of printing identical ""impressions"" by hand. Historically, many printed images were created as a preparatory study, such as a drawing. A print that copies another work of art, especially a painting, is known as a ""reproductive print"".

Prints are created by transferring ink from a matrix to a sheet of paper or other material, by a variety of techniques. Common types of matrices include: metal etching plates, usually copper or zinc, or polymer plates and other thicker plastic sheets for engraving or etching; stone, aluminum, or polymer for lithography; blocks of wood for woodcuts and wood engravings; and linoleum for linocuts. Screens made of silk or synthetic fabrics are used for the screen printing process. Other types of matrix substrates and related processes are discussed below.

Multiple impressions printed from the same matrix form an edition. Since the late 19th century, artists have generally signed individual impressions from an edition and often number the impressions to form a limited edition; the matrix is then destroyed so that no more prints can be produced. Prints may also be printed in book form, such as illustrated books or artist's books."
8,Architecture,"Architecture is the art and technique of designing and building, as distinguished from the skills associated with construction.[3] It is both the process and the product of sketching, conceiving,[4] planning, designing, and constructing buildings or other structures.[5] The term comes from Latin architectura; from Ancient Greek ἀρχιτέκτων (arkhitéktōn) 'architect'; from ἀρχι- (arkhi-) 'chief', and τέκτων (téktōn) 'creator'. Architectural works, in the material form of buildings, are often perceived as cultural symbols and as works of art. Historical civilizations are often identified with their surviving architectural achievements.[6]

The practice, which began in the prehistoric era, has been used as a way of expressing culture for civilizations on all seven continents.[7] For this reason, architecture is considered to be a form of art. Texts on architecture have been written since ancient times. The earliest surviving text on architectural theories is the 1st century AD treatise De architectura by the Roman architect Vitruvius, according to whom a good building embodies firmitas, utilitas, and venustas (durability, utility, and beauty). Centuries later, Leon Battista Alberti developed his ideas further, seeing beauty as an objective quality of buildings to be found in their proportions. Giorgio Vasari wrote Lives of the Most Excellent Painters, Sculptors, and Architects and put forward the idea of style in the Western arts in the 16th century. In the 19th century, Louis Sullivan declared that ""form follows function"". ""Function"" began to replace the classical ""utility"" and was understood to include not only practical but also aesthetic, psychological and cultural dimensions. The idea of sustainable architecture was introduced in the late 20th century.

Architecture began as rural, oral vernacular architecture that developed from trial and error to successful replication. Ancient urban architecture was preoccupied with building religious structures and buildings symbolizing the political power of rulers until Greek and Roman architecture shifted focus to civic virtues. Indian and Chinese architecture influenced forms all over Asia and Buddhist architecture in particular took diverse local flavors. In fact, During the European Middle Ages, pan-European styles of Romanesque and Gothic cathedrals and abbeys emerged while the Renaissance favored Classical forms implemented by architects known by name. Later, the roles of architects and engineers became separated. Modern architecture began after World War I as an avant-garde movement that sought to develop a completely new style appropriate for a new post-war social and economic order focused on meeting the needs of the middle and working classes. Emphasis was put on modern techniques, materials, and simplified geometric forms, paving the way for high-rise superstructures. Many architects became disillusioned with modernism which they perceived as ahistorical and anti-aesthetic, and postmodern and contemporary architecture developed.

Over the years, the field of architectural construction has branched out to include everything from ship design to interior decorating."
9,Poetry,"Poetry (derived from the Greek poiesis, ""making""), also called verse,[note 1] is a form of literature that uses aesthetic and often rhythmic[1][2][3] qualities of language − such as phonaesthetics, sound symbolism, and metre − to evoke meanings in addition to, or in place of, a prosaic ostensible meaning. A poem is a literary composition, written by a poet, using this principle.

Poetry has a long and varied history, evolving differentially across the globe. It dates back at least to prehistoric times with hunting poetry in Africa and to panegyric and elegiac court poetry of the empires of the Nile, Niger, and Volta River valleys.[4] Some of the earliest written poetry in Africa occurs among the Pyramid Texts written during the 25th century BCE. The earliest surviving Western Asian epic poetry, the Epic of Gilgamesh, was written in Sumerian.

Early poems in the Eurasian continent evolved from folk songs such as the Chinese Shijing, as well as religious hymns (the Sanskrit Rigveda, the Zoroastrian Gathas, the Hurrian songs, and the Hebrew Psalms); or from a need to retell oral epics, as with the Egyptian Story of Sinuhe, the Indian epic poetry, and the Homeric epics, the Iliad and the Odyssey. Ancient Greek attempts to define poetry, such as Aristotle's Poetics, focused on the uses of speech in rhetoric, drama, song, and comedy. Later attempts concentrated on features such as repetition, verse form, and rhyme, and emphasized the aesthetics which distinguish poetry from more objectively-informative prosaic writing.

Poetry uses forms and conventions to suggest differential interpretations of words, or to evoke emotive responses. Devices such as assonance, alliteration, onomatopoeia, and rhythm may convey musical or incantatory effects. The use of ambiguity, symbolism, irony, and other stylistic elements of poetic diction often leaves a poem open to multiple interpretations. Similarly, figures of speech such as metaphor, simile, and metonymy[5] establish a resonance between otherwise disparate images—a layering of meanings, forming connections previously not perceived. Kindred forms of resonance may exist, between individual verses, in their patterns of rhyme or rhythm.

Some poetry types are unique to particular cultures and genres and respond to characteristics of the language in which the poet writes. Readers accustomed to identifying poetry with Dante, Goethe, Mickiewicz, or Rumi may think of it as written in lines based on rhyme and regular meter. There are, however, traditions, such as Biblical poetry, that use other means to create rhythm and euphony. Much modern poetry reflects a critique of poetic tradition,[6] testing the principle of euphony itself or altogether forgoing rhyme or set rhythm.[7][8] In an increasingly globalized world, poets often adapt forms, styles, and techniques from diverse cultures and languages. Poets have contributed to the evolution of the linguistic, expressive, and utilitarian qualities of their languages.

A Western cultural tradition (extending at least from Homer to Rilke) associates the production of poetry with inspiration – often by a Muse (either classical or contemporary).

In many poems, the lyrics are spoken by a character, who is called the speaker. This concept differentiates the speaker (character) from the poet (author), which is usually an important distinction: for example, if the poem runs I killed a man in Reno, it is the speaker who is the murderer, not the poet himself."
10,Wood Engravings,"Wood engraving is a printmaking technique, in which an artist works an image or matrix of images into a block of wood. Functionally a variety of woodcut, it uses relief printing, where the artist applies ink to the face of the block and prints using relatively low pressure. By contrast, ordinary engraving, like etching, uses a metal plate for the matrix, and is printed by the intaglio method, where the ink fills the valleys, the removed areas. As a result, wood engravings deteriorate less quickly than copper-plate engravings, and have a distinctive white-on-black character.

Thomas Bewick developed the wood engraving technique in Great Britain at the end of the 18th century.[1] His work differed from earlier woodcuts in two key ways. First, rather than using woodcarving tools such as knives, Bewick used an engraver's burin (graver). With this, he could create thin delicate lines, often creating large dark areas in the composition. Second, wood engraving traditionally uses the wood's end grain—while the older technique used the softer side grain. The resulting increased hardness and durability facilitated more detailed images.

Wood-engraved blocks could be used on conventional printing presses, which were going through rapid mechanical improvements during the first quarter of the 19th century. The blocks were made the same height as, and composited alongside, movable type in page layouts—so printers could produce thousands of copies of illustrated pages with almost no deterioration. The combination of this new wood engraving method and mechanized printing drove a rapid expansion of illustrations in the 19th century. Further, advances in stereotype let wood-engravings be reproduced onto metal, where they could be mass-produced for sale to printers.

By the mid-19th century, many wood engravings rivaled copperplate engravings.[2] Wood engraving was used to great effect by 19th-century artists such as Edward Calvert, and its heyday lasted until the early and mid-20th century when remarkable achievements were made by Eric Gill, Eric Ravilious, Tirzah Garwood and others. Though less used now, the technique is still prized in the early 21st century as a high-quality specialist technique of book illustration, and is promoted, for example, by the Society of Wood Engravers, who hold an annual exhibition in London and other British venues."
11,Lithography,"Lithography (from Ancient Greek λίθος, lithos 'stone', and γράφειν, graphein 'to write')[1] is a planographic method of printing originally based on the immiscibility of oil and water.[2] The printing is from a stone (lithographic limestone) or a metal plate with a smooth surface. It was invented in 1796 by the German author and actor Alois Senefelder and was initially used mostly for musical scores and maps.[3][4] Lithography can be used to print text or images onto paper or other suitable material.[5] A lithograph is something printed by lithography, but this term is only used for fine art prints and some other, mostly older, types of printed matter, not for those made by modern commercial lithography.

Originally, the image to be printed was drawn with a greasy substance, such as oil, fat, or wax onto the surface of a smooth and flat limestone plate. The stone was then treated with a mixture of weak acid and gum arabic (""etch"") that made the parts of the stone's surface that were not protected by the grease more hydrophilic (water attracting). For printing, the stone was first moistened. The water only adhered to the gum-treated parts, making them even more oil-repellant. An oil-based ink was then applied, and would stick only to the original drawing. The ink would finally be transferred to a blank paper sheet, producing a printed page. This traditional technique is still used for fine art printmaking.[6]

In modern commercial lithography, the image is transferred or created as a patterned polymer coating applied to a flexible plastic or metal plate.[7] The printing plates, whether stone or metal, can be created by a photographic process, a method that may be referred to as ""photolithography"" (although the term usually refers to a vaguely similar microelectronics manufacturing process). [8][9] Offset printing or ""offset lithography"" is an elaboration of lithography in which the ink is transferred from the plate to the paper by means of a rubber plate or cylinder, rather than by direct contact of the two. This technique keeps the paper dry and allows high speed fully automated operation. It has mostly replaced traditional lithography for medium- and high-volume printing: since the 1960s, most books and magazines, especially when illustrated in colour, are printed with offset lithography from photographically created metal plates.

As a printing technology, lithography is different from intaglio printing (gravure), wherein a plate is engraved, etched, or stippled to score cavities to contain the printing ink; and woodblock printing or letterpress printing, wherein ink is applied to the raised surfaces of letters or images."
12,Illustrations,"An illustration is a decoration, interpretation or visual explanation of a text, concept or process,[1] designed for integration in print and digital published media, such as posters, flyers, magazines, books, teaching materials, animations, video games and films. An illustration is typically created by an illustrator. Digital illustrations are often used to make websites and apps more user-friendly, such as the use of emojis to accompany digital type.[2] llustration also means providing an example; either in writing or in picture form.

The origin of the word ""illustration"" is late Middle English (in the sense ‘illumination; spiritual or intellectual enlightenment’): via Old French from Latin illustratio(n-), from the verb illustrare."
13,Ceramics,"A ceramic is any of the various hard, brittle, heat-resistant and corrosion-resistant materials made by shaping and then firing an inorganic, nonmetallic material, such as clay, at a high temperature.[1][2] Common examples are earthenware, porcelain, and brick.

The earliest ceramics made by humans were pottery objects (pots, vessels or vases) or figurines made from clay, either by itself or mixed with other materials like silica, hardened and sintered in fire. Later, ceramics were glazed and fired to create smooth, colored surfaces, decreasing porosity through the use of glassy, amorphous ceramic coatings on top of the crystalline ceramic substrates.[3] Ceramics now include domestic, industrial and building products, as well as a wide range of materials developed for use in advanced ceramic engineering, such as in semiconductors.

The word ""ceramic"" comes from the Greek word κεραμικός (keramikos), ""of pottery"" or ""for pottery"",[4] from κέραμος (keramos), ""potter's clay, tile, pottery"".[5] The earliest known mention of the root ""ceram-"" is the Mycenaean Greek ke-ra-me-we, workers of ceramic written in Linear B syllabic script.[6] The word ceramic can be used as an adjective to describe a material, product or process, or it may be used as a noun, either singular, or more commonly, as the plural noun ""ceramics""."
14,Engraving,"Engraving is the practice of incising a design onto a hard, usually flat surface by cutting grooves into it with a burin. The result may be a decorated object in itself, as when silver, gold, steel, or glass are engraved, or may provide an intaglio printing plate, of copper or another metal, for printing images on paper as prints or illustrations; these images are also called ""engravings"". Engraving is one of the oldest and most important techniques in printmaking.

Wood engraving is a form of relief printing and is not covered in this article, same with rock engravings like petroglyphs.

Engraving was a historically important method of producing images on paper in artistic printmaking, in mapmaking, and also for commercial reproductions and illustrations for books and magazines. It has long been replaced by various photographic processes in its commercial applications and, partly because of the difficulty of learning the technique, is much less common in printmaking, where it has been largely replaced by etching and other techniques.

""Engraving"" is also loosely but incorrectly used for any old black and white print; it requires a degree of expertise to distinguish engravings from prints using other techniques such as etching in particular, but also mezzotint and other techniques. Many old master prints also combine techniques on the same plate, further confusing matters. Line engraving and steel engraving cover use for reproductive prints, illustrations in books and magazines, and similar uses, mostly in the 19th century, and often not actually using engraving. Traditional engraving, by burin or with the use of machines, continues to be practised by goldsmiths, glass engravers, gunsmiths and others, while modern industrial techniques such as photoengraving and laser engraving have many important applications. Engraved gems were an important art in the ancient world, revived at the Renaissance, although the term traditionally covers relief as well as intaglio carvings, and is essentially a branch of sculpture rather than engraving, as drills were the usual tools."
